fullCity,meanNDVI,ls_Mortality_Rate,ls_Stroke_Rate,ls_Dementia_Rate,popOver20_2023,popOver35_2023,popOver55_2023,geoid,city,state,countyGEOID,standardDevNDVI
"Lexington-Fayette urban county, Kentucky",0.7995659918099252,370.1927531924999,71.29105710009046,201.82432567766793,211676,146245,58424,NA,Lexington-Fayette urban county,Kentucky,21067,0.15811172749727403
"Louisville city, Kentucky",0.6002853727698497,330.0531157598081,49.67771494234154,139.36105820024875,185124,126100,54633,NA,Louisville city,Kentucky,21111,0.2550259574811665
"Louisville-Jefferson County metro government, Kentucky",0.7978506512471112,480.1252394627014,71.10031336360376,201.26839459189387,302339,243199,103435,NA,Louisville-Jefferson County metro government,Kentucky,21111,0.16993174356947563
"Baton Rouge city, Louisiana",0.6411961355977591,311.5128871785876,54.60153094419719,145.94233555779647,183368,110521,46418,NA,Baton Rouge city,Louisiana,22033,0.22599636712627497
"New Orleans city, Louisiana",0.7109233224059992,350.76911275287443,62.197606196209875,166.77546800931955,251409,190855,79356,NA,New Orleans city,Louisiana,22071,0.302452450753078
"Shreveport city, Louisiana",0.6914002756269845,449.6981884773966,60.05719789675669,160.8924630287022,128371,90385,38941,NA,Shreveport city,Louisiana,22017,0.21088565969542633
"Boston city, Massachusetts",0.6050145594900821,177.70800381277735,40.07426252596317,149.65761747656217,475713,288188,110994,NA,Boston city,Massachusetts,25025,0.2739445311630398
"Detroit city, Michigan",0.5915320841153697,305.7705753844676,46.4557300915929,139.5131945282369,399518,304461,126368,NA,Detroit city,Michigan,26163,0.23894562690627497
"Jackson city, Mississippi",0.7048690753182598,415.46506047072506,65.61499431353586,170.57897284937778,107842,79836,33720,NA,Jackson city,Mississippi,28049,0.21762356320577464
"Kansas  city, Missouri",0.7420535716531532,381.8507460996028,64.68730350596566,192.10285872102574,362121,267567,109298,NA,Kansas City city,Missouri,29095,0.22139879021420128
"Springfield city, Missouri",0.7171286818105982,388.0336553244412,61.97451453069654,183.83636378796268,143551,87412,37082,NA,Springfield city,Missouri,29077,0.21957194340001887
"Lincoln city, Nebraska",0.6808613478950742,282.4435566011469,54.88460525443382,174.54672064192235,194467,118384,47849,NA,Lincoln city,Nebraska,31109,0.220844667596697
"Omaha city, Nebraska",0.6564210675462254,272.83336888509257,52.40854992046555,166.48657154824082,343488,239758,92791,NA,Omaha city,Nebraska,31055,0.2309853795703
"Henderson city, Nevada",0.24128613681427952,65.84300675433586,14.797187761767306,35.92536617106293,225947,176794,72079,NA,Henderson city,Nevada,32003,0.16852401271756726
"Las Vegas city, Nevada",0.2387657364022948,64.63485858739953,14.528545478751072,35.269251101333516,443995,341377,136096,NA,Las Vegas city,Nevada,32003,0.15931798461526023
"North Las Vegas city, Nevada",0.1780945039968547,35.924209810833084,8.113364002468556,19.643783399667974,176855,136852,49877,NA,North Las Vegas city,Nevada,32003,0.1131226982415721
"Reno city, Nevada",0.5021029583603421,210.44299575228987,43.54695184248734,106.95526288567136,204822,137656,59151,NA,Reno city,Nevada,32031,0.2806992767416347
"Albuquerque city, New Mexico",0.31063530761884833,117.41014016677879,18.082549991121763,60.13799404846128,397785,277985,116160,NA,Albuquerque city,New Mexico,35001,0.19563450883471736
"New York city, New York",0.43299649116772376,118.68536928084836,24.848487066922967,98.98651618545479,5664929,3741364,1491766,NA,New York city,New York,36081,0.2639636164859862
"Cary town, North Carolina",0.7694568667262878,237.56093213247996,75.1013343575748,234.32562079462323,147340,115998,42004,NA,Cary town,North Carolina,37183,0.1807846020925723
"Charlotte city, North Carolina",0.7545619211119126,246.39456911720717,73.28782480771198,228.5106057193901,644213,425964,145503,NA,Charlotte city,North Carolina,37119,0.19216878116401412
"Durham city, North Carolina",0.7099584303117593,252.11786475975265,67.89802774103366,211.27250822693,222030,142205,53755,NA,Durham city,North Carolina,37063,0.22806686895833592
"Fayetteville city, North Carolina",0.6774566573758779,334.0706155202905,64.00883328459643,198.87513071556918,160190,94306,37266,NA,Fayetteville city,North Carolina,37051,0.24641031333361813
"Greensboro city, North Carolina",0.8566115000894365,458.46198825495964,85.85124237248142,268.9479461892619,234621,153565,60878,NA,Greensboro city,North Carolina,37081,0.12251155633342428
"Raleigh city, North Carolina",0.72627762703495,220.20299732170744,69.86293187318668,217.54913486688733,362154,232560,83103,NA,Raleigh city,North Carolina,37183,0.2126931129240653
"Winston-Salem city, North Carolina",0.7250850063889932,400.475091893146,69.71905918908594,217.0892525774763,182747,124183,51156,NA,Winston-Salem city,North Carolina,37067,0.20748792886651027
"Akron city, Ohio",0.7391694992722361,443.52215058158833,64.05535749767112,186.98408502419963,141524,103135,45804,NA,Akron city,Ohio,39153,0.20998182559015263
"Cincinnati city, Ohio",0.7035475326232425,362.19578706993565,60.205463334553855,175.45916450347394,219760,158722,66703,NA,Cincinnati city,Ohio,39061,0.24497996588805743
